Sutton, A., C. Sabine, C. Dietrich, S. Maenner, S. Musielewicz, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; Dietrich, C.; Maenner, S.; Musielewicz, S.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, D. Manzello, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne.	Sutton, A.; Sabine, C.; Manzello, D.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, E. De Carlo, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; De Carlo, E.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, E. De Carlo, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne. 2014.	Sutton, A.; Sabine, C.; De Carlo, E.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, J.-H. Noh, C. Lee, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne. 2013.	Sutton, A.; Sabine, C.; Noh, J.-H.; Lee, C.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, J. Morell, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; Morell, J.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton A., C. Sabine, J. Newton, J. Mickett, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; Newton, J.; Mickett, J.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, J. Newton, J. Mickett, S. Musielewicz, S. Maenner, C. Dietrich, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; Newton, J.; Mickett, J.; Musielewicz, S.; Maenner, S.; Dietrich, C.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, S. �lafsd�ttir, J. �lafsson, C. Dietrich, S. Maenner, S. Musielewicz, R. Bott, and J. Osborne	Sutton, A.; Sabine, C.; Ólafsdóttir, S.; Ólafsson, J.; Dietrich, C.; Maenner, S.; Musielewicz, S.; Bott, R.; Osborne, J.
Sutton, A., C. Sabine, S. Maenner, S. Musielewicz, R. Bott, and J. Osborne. 2016.	Sutton, A.; Sabine, C.; Maenner, S.; Musielewicz, S.; Bott, R.; Osborne, J.
